site_names,measure_name,time,measure_value:varchar,measure_value:double,measure_value:bigint
Ay,site_name,2024-11-27 06:47:00.000000,Ay,,
Ay,site_name,2024-11-27 07:07:00.000000,Ay,,
Ay,site_name,2024-11-27 07:27:00.000000,Ay,,
Ay,site_name,2024-11-27 07:47:00.000000,Ay,,
Ay,site_name,2024-11-27 08:07:00.000000,Ay,,
Ay,site_name,2024-11-27 08:27:00.000000,Ay,,
Ay,site_name,2024-11-27 08:47:00.000000,Ay,,
Ay,site_name,2024-11-27 09:07:00.000000,Ay,,
Ay,site_name,2024-11-27 09:27:00.000000,Ay,,
Ay,site_name,2024-11-27 09:47:00.000000,Ay,,
Ay,site_name,2024-11-27 10:07:00.000000,Ay,,
Ay,site_name,2024-11-27 10:27:00.000000,Ay,,
Ay,site_name,2024-11-27 10:47:00.000000,Ay,,
Ay,site_name,2024-11-27 11:07:00.000000,Ay,,
Ay,site_name,2024-11-27 11:27:00.000000,Ay,,
Ay,site_name,2024-11-27 11:47:00.000000,Ay,,
Ay,site_name,2024-11-27 12:07:00.000000,Ay,,
Ay,site_name,2024-11-27 12:27:00.000000,Ay,,
Ay,site_name,2024-11-27 12:47:00.000000,Ay,,
Ay,site_name,2024-11-27 13:07:00.000000,Ay,,
Ay,site_name,2024-11-27 13:27:00.000000,Ay,,
Ay,site_name,2024-11-27 13:47:00.000000,Ay,,
Ay,site_name,2024-11-27 14:07:00.000000,Ay,,
Ay,site_name,2024-11-27 14:27:00.000000,Ay,,
Ay,site_name,2024-11-27 14:47:00.000000,Ay,,
Ay,site_name,2024-11-27 15:07:00.000000,Ay,,
Ay,site_name,2024-11-27 15:27:00.000000,Ay,,
Ay,site_name,2024-11-27 15:47:00.000000,Ay,,
Ay,site_name,2024-11-27 16:07:00.000000,Ay,,
Ay,site_name,2024-11-27 16:27:00.000000,Ay,,
Ay,site_name,2024-11-27 16:47:00.000000,Ay,,
Ay,site_name,2024-11-27 17:07:00.000000,Ay,,
Ay,site_name,2024-11-27 17:27:00.000000,Ay,,
Ay,site_name,2024-11-27 17:47:00.000000,Ay,,
Ay,site_name,2024-11-27 18:07:00.000000,Ay,,
Ay,site_name,2024-11-27 18:27:00.000000,Ay,,
Ay,site_name,2024-11-27 18:47:00.000000,Ay,,
Ay,site_name,2024-11-27 19:07:00.000000,Ay,,
Ay,site_name,2024-11-27 19:27:00.000000,Ay,,
Ay,site_name,2024-11-27 19:47:00.000000,Ay,,
Ay,site_name,2024-11-27 20:07:00.000000,Ay,,
Ay,site_name,2024-11-27 20:27:00.000000,Ay,,
Ay,site_name,2024-11-27 20:47:00.000000,Ay,,
Ay,site_name,2024-11-27 21:07:00.000000,Ay,,
Ay,site_name,2024-11-27 21:27:00.000000,Ay,,
Ay,site_name,2024-11-27 21:47:00.000000,Ay,,
Ay,site_name,2024-11-28 00:07:00.000000,Ay,,
Ay,site_name,2024-11-28 00:27:00.000000,Ay,,
Ay,site_name,2024-11-28 00:47:00.000000,Ay,,
Ay,site_name,2024-11-28 01:07:00.000000,Ay,,
Ay,site_name,2024-11-28 01:27:00.000000,Ay,,
Ay,site_name,2024-11-28 01:47:00.000000,Ay,,
Ay,site_name,2024-11-28 02:07:00.000000,Ay,,
Ay,site_name,2024-11-28 02:27:00.000000,Ay,,
Ay,site_name,2024-11-28 02:47:00.000000,Ay,,
Ay,site_name,2024-11-28 03:07:00.000000,Ay,,
Ay,site_name,2024-11-28 03:27:00.000000,Ay,,
Ay,site_name,2024-11-28 03:47:00.000000,Ay,,
Ay,site_name,2024-11-28 04:07:00.000000,Ay,,
Ay,site_name,2024-11-28 04:27:00.000000,Ay,,
Ay,site_name,2024-11-28 04:47:00.000000,Ay,,
Ay,site_name,2024-11-28 05:07:00.000000,Ay,,
Ay,site_name,2024-11-28 05:27:00.000000,Ay,,
Ay,site_name,2024-11-28 05:47:00.000000,Ay,,
Ay,site_name,2024-11-28 06:07:00.000000,Ay,,
Ay,site_name,2024-11-28 06:27:00.000000,Ay,,
Ay,site_name,2024-11-28 06:47:00.000000,Ay,,
Ay,site_name,2024-11-28 07:07:00.000000,Ay,,
Ay,site_name,2024-11-28 07:27:00.000000,Ay,,
Ay,site_name,2024-11-28 07:47:00.000000,Ay,,
Ay,site_name,2024-11-28 08:07:00.000000,Ay,,
Ay,site_name,2024-11-28 08:27:00.000000,Ay,,
Ay,site_name,2024-11-28 08:47:00.000000,Ay,,
Ay,site_name,2024-11-28 09:07:00.000000,Ay,,
Ay,site_name,2024-11-28 09:27:00.000000,Ay,,
Ay,site_name,2024-11-28 09:47:00.000000,Ay,,
Ay,site_name,2024-11-28 10:07:00.000000,Ay,,
Ay,site_name,2024-11-28 10:27:00.000000,Ay,,
Ay,site_name,2024-11-28 10:47:00.000000,Ay,,
Ay,site_name,2024-11-28 11:07:00.000000,Ay,,
Ay,site_name,2024-11-28 11:27:00.000000,Ay,,
Ay,site_name,2024-11-28 11:47:00.000000,Ay,,
Ay,site_name,2024-11-28 12:07:00.000000,Ay,,
Ay,site_name,2024-11-28 12:27:00.000000,Ay,,
Ay,site_name,2024-11-28 12:47:00.000000,Ay,,
Ay,site_name,2024-11-28 13:07:00.000000,Ay,,
Ay,site_name,2024-11-28 13:27:00.000000,Ay,,
Ay,site_name,2024-11-28 13:47:00.000000,Ay,,
Ay,site_name,2024-11-28 14:07:00.000000,Ay,,
Ay,site_name,2024-11-28 14:27:00.000000,Ay,,
Ay,site_name,2024-11-28 14:47:00.000000,Ay,,
Ay,site_name,2024-11-28 15:07:00.000000,Ay,,
Ay,site_name,2024-11-28 15:27:00.000000,Ay,,
Ay,site_name,2024-11-28 15:47:00.000000,Ay,,
Ay,site_name,2024-11-28 16:07:00.000000,Ay,,
Ay,site_name,2024-11-28 16:27:00.000000,Ay,,
Ay,site_name,2024-11-28 16:47:00.000000,Ay,,
Ay,site_name,2024-11-28 17:07:00.000000,Ay,,
Ay,site_name,2024-11-28 17:27:00.000000,Ay,,
Ay,site_name,2024-11-28 17:47:00.000000,Ay,,
Ay,site_name,2024-11-28 18:07:00.000000,Ay,,
Ay,site_name,2024-11-28 18:27:00.000000,Ay,,
Ay,site_name,2024-11-28 18:47:00.000000,Ay,,
Ay,site_name,2024-11-28 19:07:00.000000,Ay,,
Ay,site_name,2024-11-28 19:27:00.000000,Ay,,
Ay,site_name,2024-11-28 19:47:00.000000,Ay,,
Ay,site_name,2024-11-28 20:07:00.000000,Ay,,
Ay,site_name,2024-11-28 20:27:00.000000,Ay,,
Ay,site_name,2024-11-28 20:47:00.000000,Ay,,
Ay,site_name,2024-11-28 21:07:00.000000,Ay,,
Ay,site_name,2024-11-28 21:27:00.000000,Ay,,
Ay,site_name,2024-11-28 21:47:00.000000,Ay,,
Ay,site_name,2024-11-28 22:07:00.000000,Ay,,
Ay,site_name,2024-11-28 22:27:00.000000,Ay,,
Ay,site_name,2024-11-29 00:07:00.000000,Ay,,
Ay,site_name,2024-11-29 00:27:00.000000,Ay,,
Ay,site_name,2024-11-29 00:47:00.000000,Ay,,
Ay,site_name,2024-11-29 01:07:00.000000,Ay,,
Ay,site_name,2024-11-29 01:27:00.000000,Ay,,
Ay,site_name,2024-11-29 01:47:00.000000,Ay,,
Ay,site_name,2024-11-29 02:07:00.000000,Ay,,
Ay,site_name,2024-11-29 02:27:00.000000,Ay,,
Ay,site_name,2024-11-29 02:47:00.000000,Ay,,
Ay,site_name,2024-11-29 03:07:00.000000,Ay,,
Ay,site_name,2024-11-29 03:27:00.000000,Ay,,
Ay,site_name,2024-11-29 03:47:00.000000,Ay,,
Ay,site_name,2024-11-29 04:07:00.000000,Ay,,
Ay,site_name,2024-11-29 04:27:00.000000,Ay,,
Ay,site_name,2024-11-29 04:47:00.000000,Ay,,
Ay,site_name,2024-11-29 05:07:00.000000,Ay,,
Ay,site_name,2024-11-29 05:27:00.000000,Ay,,
Ay,site_name,2024-11-29 05:47:00.000000,Ay,,
Ay,site_name,2024-11-29 06:07:00.000000,Ay,,
Ay,site_name,2024-11-29 06:27:00.000000,Ay,,
Ay,site_name,2024-11-29 06:47:00.000000,Ay,,
Ay,site_name,2024-11-29 07:07:00.000000,Ay,,
Ay,site_name,2024-11-29 07:27:00.000000,Ay,,
Ay,site_name,2024-11-29 07:47:00.000000,Ay,,
Ay,site_name,2024-11-29 08:07:00.000000,Ay,,
Ay,site_name,2024-11-29 08:27:00.000000,Ay,,
Ay,site_name,2024-11-29 08:47:00.000000,Ay,,
Ay,site_name,2024-11-29 09:07:00.000000,Ay,,
Ay,site_name,2024-11-29 09:27:00.000000,Ay,,
Ay,site_name,2024-11-29 09:47:00.000000,Ay,,
Ay,site_name,2024-11-29 10:07:00.000000,Ay,,
Ay,site_name,2024-11-29 10:27:00.000000,Ay,,
Ay,site_name,2024-11-29 10:47:00.000000,Ay,,
Ay,site_name,2024-11-29 11:07:00.000000,Ay,,
Ay,site_name,2024-11-29 11:27:00.000000,Ay,,
Ay,site_name,2024-11-29 11:47:00.000000,Ay,,
Ay,site_name,2024-11-29 12:07:00.000000,Ay,,
Ay,site_name,2024-11-29 12:27:00.000000,Ay,,
Ay,site_name,2024-11-29 12:47:00.000000,Ay,,
Ay,site_name,2024-11-29 13:07:00.000000,Ay,,
Ay,site_name,2024-11-29 13:27:00.000000,Ay,,
Ay,site_name,2024-11-29 13:47:00.000000,Ay,,
Ay,site_name,2024-11-29 14:07:00.000000,Ay,,
Ay,site_name,2024-11-29 14:27:00.000000,Ay,,
Ay,site_name,2024-11-29 14:47:00.000000,Ay,,
Ay,site_name,2024-11-29 15:07:00.000000,Ay,,
Ay,site_name,2024-11-29 15:27:00.000000,Ay,,
Ay,site_name,2024-11-29 15:47:00.000000,Ay,,
Ay,site_name,2024-11-29 16:07:00.000000,Ay,,
Ay,site_name,2024-11-29 16:27:00.000000,Ay,,
Ay,site_name,2024-11-29 16:47:00.000000,Ay,,
Ay,site_name,2024-11-29 17:07:00.000000,Ay,,
Ay,site_name,2024-11-29 17:27:00.000000,Ay,,
Ay,site_name,2024-11-29 17:47:00.000000,Ay,,
Ay,site_name,2024-11-29 18:07:00.000000,Ay,,
Ay,site_name,2024-11-29 18:27:00.000000,Ay,,
Ay,site_name,2024-11-29 18:47:00.000000,Ay,,
Ay,site_name,2024-11-29 19:07:00.000000,Ay,,
Ay,site_name,2024-11-29 19:27:00.000000,Ay,,
Ay,site_name,2024-11-29 19:47:00.000000,Ay,,
Ay,site_name,2024-11-29 20:07:00.000000,Ay,,
Ay,site_name,2024-11-29 20:27:00.000000,Ay,,
Ay,site_name,2024-11-29 20:47:00.000000,Ay,,
Ay,site_name,2024-11-30 00:07:00.000000,Ay,,
Ay,site_name,2024-11-30 00:27:00.000000,Ay,,
Ay,site_name,2024-11-30 00:47:00.000000,Ay,,
Ay,site_name,2024-11-30 01:07:00.000000,Ay,,
Ay,site_name,2024-11-30 01:27:00.000000,Ay,,
Ay,site_name,2024-11-30 01:47:00.000000,Ay,,
Ay,site_name,2024-11-30 02:07:00.000000,Ay,,
Ay,site_name,2024-11-30 02:27:00.000000,Ay,,
Ay,site_name,2024-11-30 02:47:00.000000,Ay,,
Ay,site_name,2024-11-30 03:07:00.000000,Ay,,
Ay,site_name,2024-11-30 03:27:00.000000,Ay,,
Ay,site_name,2024-11-30 03:47:00.000000,Ay,,
Ay,site_name,2024-11-30 04:07:00.000000,Ay,,
Ay,site_name,2024-11-30 04:27:00.000000,Ay,,
Ay,site_name,2024-11-30 04:47:00.000000,Ay,,
Ay,site_name,2024-11-30 05:07:00.000000,Ay,,
Ay,site_name,2024-11-30 05:27:00.000000,Ay,,
Ay,site_name,2024-11-30 05:47:00.000000,Ay,,
Ay,site_name,2024-11-30 06:07:00.000000,Ay,,
Ay,site_name,2024-11-30 06:27:00.000000,Ay,,
Ay,site_name,2024-11-30 06:47:00.000000,Ay,,
Ay,site_name,2024-11-30 07:07:00.000000,Ay,,
Ay,site_name,2024-11-30 07:27:00.000000,Ay,,
Ay,site_name,2024-11-30 07:47:00.000000,Ay,,
Ay,site_name,2024-11-30 08:07:00.000000,Ay,,
Ay,site_name,2024-11-30 08:27:00.000000,Ay,,
Ay,site_name,2024-11-30 08:47:00.000000,Ay,,
Ay,site_name,2024-11-30 09:07:00.000000,Ay,,
Ay,site_name,2024-11-30 09:27:00.000000,Ay,,
Ay,site_name,2024-11-30 09:47:00.000000,Ay,,
Ay,site_name,2024-11-30 10:07:00.000000,Ay,,
Ay,site_name,2024-11-30 10:27:00.000000,Ay,,
Ay,site_name,2024-11-30 10:47:00.000000,Ay,,
Ay,site_name,2024-11-30 11:07:00.000000,Ay,,
Ay,site_name,2024-11-30 11:27:00.000000,Ay,,
Ay,site_name,2024-11-30 11:47:00.000000,Ay,,
Ay,site_name,2024-11-30 12:07:00.000000,Ay,,
Ay,site_name,2024-11-30 12:27:00.000000,Ay,,
Ay,site_name,2024-11-30 12:47:00.000000,Ay,,
Ay,site_name,2024-11-30 13:07:00.000000,Ay,,
Ay,site_name,2024-11-30 13:27:00.000000,Ay,,
Ay,site_name,2024-11-30 13:47:00.000000,Ay,,
Ay,site_name,2024-11-30 14:07:00.000000,Ay,,
Ay,site_name,2024-11-30 14:27:00.000000,Ay,,
Ay,site_name,2024-11-30 14:47:00.000000,Ay,,
Ay,site_name,2024-11-30 15:07:00.000000,Ay,,
Ay,site_name,2024-11-30 15:27:00.000000,Ay,,
Ay,site_name,2024-11-30 15:47:00.000000,Ay,,
Ay,site_name,2024-11-30 16:07:00.000000,Ay,,
Ay,site_name,2024-11-30 16:27:00.000000,Ay,,
Ay,site_name,2024-11-30 16:47:00.000000,Ay,,
Ay,site_name,2024-11-30 17:07:00.000000,Ay,,
Ay,site_name,2024-11-30 17:27:00.000000,Ay,,
Ay,site_name,2024-11-30 17:47:00.000000,Ay,,
Ay,site_name,2024-11-30 18:07:00.000000,Ay,,
Ay,site_name,2024-11-30 18:27:00.000000,Ay,,
Ay,site_name,2024-11-30 18:47:00.000000,Ay,,
Ay,site_name,2024-11-30 19:07:00.000000,Ay,,
Ay,site_name,2024-11-30 19:27:00.000000,Ay,,
Ay,site_name,2024-11-30 19:47:00.000000,Ay,,
Ay,site_name,2024-11-30 20:07:00.000000,Ay,,
Ay,site_name,2024-11-30 20:27:00.000000,Ay,,
Ay,site_name,2024-11-30 20:47:00.000000,Ay,,
Ay,site_name,2024-11-30 21:07:00.000000,Ay,,
Ay,site_name,2024-12-01 00:07:00.000000,Ay,,
Ay,site_name,2024-12-01 00:27:00.000000,Ay,,
Ay,site_name,2024-12-01 00:47:00.000000,Ay,,
Ay,site_name,2024-12-01 01:07:00.000000,Ay,,
Ay,site_name,2024-12-01 01:27:00.000000,Ay,,
Ay,site_name,2024-12-01 01:47:00.000000,Ay,,
Ay,site_name,2024-12-01 02:07:00.000000,Ay,,
Ay,site_name,2024-12-01 02:27:00.000000,Ay,,
Ay,site_name,2024-12-01 02:47:00.000000,Ay,,
Ay,site_name,2024-12-01 03:07:00.000000,Ay,,
Ay,site_name,2024-12-01 03:27:00.000000,Ay,,
Ay,site_name,2024-12-01 03:47:00.000000,Ay,,
Ay,site_name,2024-12-01 04:07:00.000000,Ay,,
Ay,site_name,2024-12-01 04:27:00.000000,Ay,,
Ay,site_name,2024-12-01 04:47:00.000000,Ay,,
Ay,site_name,2024-12-01 05:07:00.000000,Ay,,
Ay,site_name,2024-12-01 05:27:00.000000,Ay,,
Ay,site_name,2024-12-01 05:47:00.000000,Ay,,
Ay,site_name,2024-12-01 06:07:00.000000,Ay,,
Ay,site_name,2024-12-01 06:27:00.000000,Ay,,
Ay,site_name,2024-12-01 06:47:00.000000,Ay,,
Ay,site_name,2024-12-01 07:07:00.000000,Ay,,
Ay,site_name,2024-12-01 07:27:00.000000,Ay,,
Ay,site_name,2024-12-01 07:47:00.000000,Ay,,
Ay,site_name,2024-12-01 08:07:00.000000,Ay,,
Ay,site_name,2024-12-01 08:27:00.000000,Ay,,
Ay,site_name,2024-12-01 08:47:00.000000,Ay,,
Ay,site_name,2024-12-01 09:07:00.000000,Ay,,
Ay,site_name,2024-12-01 09:27:00.000000,Ay,,
Ay,site_name,2024-12-01 09:47:00.000000,Ay,,
Ay,site_name,2024-12-01 10:07:00.000000,Ay,,
Ay,site_name,2024-12-01 10:27:00.000000,Ay,,
Ay,site_name,2024-12-01 10:47:00.000000,Ay,,
Ay,site_name,2024-12-01 11:07:00.000000,Ay,,
Li,site_name,2024-11-26 15:16:00.000000,Li,,
Li,site_name,2024-11-26 15:50:00.000000,Li,,
Li,site_name,2024-11-26 16:01:00.000000,Li,,
Li,site_name,2024-11-26 16:21:00.000000,Li,,
Li,site_name,2024-11-26 16:40:00.000000,Li,,
Li,site_name,2024-11-26 17:00:00.000000,Li,,
Li,site_name,2024-11-27 09:19:00.000000,Li,,
Li,site_name,2024-11-27 09:39:00.000000,Li,,
Li,site_name,2024-11-27 09:50:00.000000,Li,,
Li,site_name,2024-11-27 10:10:00.000000,Li,,
Li,site_name,2024-11-27 10:30:00.000000,Li,,
Li,site_name,2024-11-27 10:43:00.000000,Li,,
Li,site_name,2024-11-27 11:03:00.000000,Li,,
Li,site_name,2024-11-27 11:24:00.000000,Li,,
Li,site_name,2024-11-27 11:42:00.000000,Li,,
Li,site_name,2024-11-27 12:52:00.000000,Li,,
Li,site_name,2024-11-27 13:12:00.000000,Li,,
Li,site_name,2024-11-27 13:32:00.000000,Li,,
Li,site_name,2024-11-27 15:14:00.000000,Li,,
Li,site_name,2024-11-27 15:34:00.000000,Li,,
Li,site_name,2024-11-27 16:18:00.000000,Li,,
Li,site_name,2024-11-27 16:30:00.000000,Li,,
Li,site_name,2024-11-27 16:47:00.000000,Li,,
Li,site_name,2024-11-27 17:07:00.000000,Li,,
Li,site_name,2024-11-27 17:27:00.000000,Li,,
Li,site_name,2024-11-27 17:47:00.000000,Li,,
Li,site_name,2024-11-27 18:07:00.000000,Li,,
Li,site_name,2024-11-27 18:27:00.000000,Li,,
Li,site_name,2024-11-27 18:47:00.000000,Li,,
Li,site_name,2024-11-27 19:07:00.000000,Li,,
Li,site_name,2024-11-27 19:27:00.000000,Li,,
Li,site_name,2024-11-27 19:47:00.000000,Li,,
Li,site_name,2024-11-27 20:07:00.000000,Li,,
Li,site_name,2024-11-27 20:27:00.000000,Li,,
Li,site_name,2024-11-27 20:47:00.000000,Li,,
Li,site_name,2024-11-27 21:07:00.000000,Li,,
Li,site_name,2024-11-27 21:27:00.000000,Li,,
Li,site_name,2024-11-27 21:47:00.000000,Li,,
Li,site_name,2024-11-27 22:07:00.000000,Li,,
Li,site_name,2024-11-27 22:27:00.000000,Li,,
Li,site_name,2024-11-27 22:47:00.000000,Li,,
Li,site_name,2024-11-27 23:07:00.000000,Li,,
Li,site_name,2024-11-27 23:27:00.000000,Li,,
Li,site_name,2024-11-27 23:47:00.000000,Li,,
Li,site_name,2024-11-28 00:07:00.000000,Li,,
Li,site_name,2024-11-28 00:27:00.000000,Li,,
Li,site_name,2024-11-28 00:47:00.000000,Li,,
Li,site_name,2024-11-28 01:07:00.000000,Li,,
Li,site_name,2024-11-28 01:27:00.000000,Li,,
Li,site_name,2024-11-28 01:47:00.000000,Li,,
Li,site_name,2024-11-28 02:07:00.000000,Li,,
Li,site_name,2024-11-28 02:27:00.000000,Li,,
Li,site_name,2024-11-28 02:47:00.000000,Li,,
Li,site_name,2024-11-28 03:07:00.000000,Li,,
Li,site_name,2024-11-28 03:27:00.000000,Li,,
Li,site_name,2024-11-28 03:47:00.000000,Li,,
Li,site_name,2024-11-28 04:07:00.000000,Li,,
Li,site_name,2024-11-28 04:27:00.000000,Li,,
Li,site_name,2024-11-28 04:47:00.000000,Li,,
Li,site_name,2024-11-28 07:47:00.000000,Li,,
Li,site_name,2024-11-28 08:07:00.000000,Li,,
Li,site_name,2024-11-28 08:27:00.000000,Li,,
